link,id,gender,age,nationality,noncountry,education,occupation,province,city,id.1,g1_public_indoor,g2_public_outdoor,g3_anti_smoking_ads,g4_smoking_public_venues,g5_accept_free_hookah,g6_quit_difficulty,g7_harmful_hookah_cigarettes,g8_water_filter_harmless,g9_flavor_reduce_harm,g10_workplace_smoking_restrictions,g11_current_tobacco_use,id.2,cs_q1_age,cs_q2_reason_gaining_peace_of_mind,cs_q2_reason_relieving_fatigue,cs_q2_reason_gaining_pleasure,cs_q2_reason_gaining_experience,cs_q2_reason_life_pressure_and_stress,cs_q2_reason_imitating_others,cs_q2_reason_as_a_hobby_and_entertainment,cs_q2_reason_feeling_of_greatness,cs_q2_reason_curiosity,cs_q2_reason_stubbornness_against_parents,cs_q2_reason_mental_emotional_problems,cs_q2_reason_hopelessness_about_the_future_of_life,cs_q2_reason_combined,cs_q3_daily_cigarette_consumption,cs_q4_morning_urge_to_smoke,cs_q5_time_to_first_cigarette,cs_q6_peak_smoking_times,cs_q7_hardest_cigarette_to_skip,cs_q8_smoke_when_sick,cs_q9_first_smoking_location,cs_q10_smoking_start_reason,cs_q11_enjoy_smoking_agreement,cs_q12_bothered_by_smoking_restrictions,cs_q13_smokers_friend_count_opinion,cs_q14_smoking_affects_respect_opinion,cs_q15_recommend_smoking_to_others,id.3,qcs_q1_wants_quit,qcs_q2_attempted_quit,qcs_q3_quitreason_illness_fear,qcs_q3_quitreason_family_insistence,qcs_q3_quitreason_for_children,qcs_q3_quitreason_healthcare_advice,qcs_q3_quitreason_workplace_rules,qcs_q3_quitreason_tired,qcs_q3_quitreason_highcost,qcs_q3_quitreason_others,qcs_q3_quitreason_combined,qcs_q4_num_attempts,qcs_q5_time_between_quits,qcs_q6_last_quit,qcs_q7_failure_reasons,qcs_q8_quit_methods,qcs_q9_withdrawal_symptoms_craving,qcs_q9_withdrawal_symptoms_irritability,qcs_q9_withdrawal_symptoms_productivecough,qcs_q9_withdrawal_symptoms_concentrationloss,qcs_q9_withdrawal_symptoms_weightgain,qcs_q9_withdrawal_symptoms_others,qcs_q9_withdrawal_symptoms_combined,qcs_q10_canquit_again,qcs_q11_supporters,id.4,hs_q1_age_started_smoking,hs_q2_reason_gaining_peace_of_mind,hs_q2_reason_relieving_fatigue,hs_q2_reason_gaining_pleasure,hs_q2_reason_gaining_experience,hs_q2_reason_life_pressure_and_stress,hs_q2_reason_imitating_others,hs_q2_reason_as_a_hobby_and_entertainment,hs_q2_reason_feeling_of_greatness,hs_q2_reason_curiosity,hs_q2_reason_stubbornness_against_parents,hs_q2_reason_mental_emotional_problems,hs_q2_reason_hopelessness_about_the_future_of_life,hs_q2_reason_combined,hs_q3_daily_hooka_consumption,hs_q4_morning_urge_to_smoke,hs_q5_time_to_first_hooka,hs_q6_peak_smoking_times,hs_q7_time_per_session,hs_q8_tobacco_type,hs_q9_hardest_hookah_to_skip,hs_q10_smoke_when_sick,hs_q11_first_time_location,hs_q12_how_start,hs_q13_enjoy_smoking_agreement,hs_q14_bothered_by_smoking_restrictions,hs_q15_smokers_friend_count_opinion,hs_q16_smoking_affects_respect_opinion,hs_q17_recommend_smoking_to_others,id.5,qhs_q1_wants_quit,qhs_q2_attempted_quit,qhs_q3_quitreason_illness_fear,qhs_q3_quitreason_family_insistence,qhs_q3_quitreason_for_children,qhs_q3_quitreason_healthcare_advice,qhs_q3_quitreason_workplace_rules,qhs_q3_quitreason_tired,qhs_q3_quitreason_highcost,qhs_q3_quitreason_others,qhs_q3_quitreason_combined,qhs_q4_num_attempts,qhs_q5_time_between_quits,qhs_q6_last_quit,qhs_q7_failure_reasons,qhs_q8_quit_methods,qhs_q9_withdrawal_symptoms_craving,qhs_q9_withdrawal_symptoms_irritability,qhs_q9_withdrawal_symptoms_productivecough,qhs_q9_withdrawal_symptoms_concentrationloss,qhs_q9_withdrawal_symptoms_weightgain,qhs_q9_withdrawal_symptoms_others,qhs_q9_withdrawal_combined,qhs_q10_canquit_again,qhs_q11_supporters,id.6,res_q1_past_month_shortness_of_breath,res_q2_productivecogh,res_q3_ability_reduces,res_q4_diagnosed_respiratory_illness,res_q5_condition_diagnosed,id.7,surveyor,surveyor_id,spam,start_date,end_date,greg_start_date,greg_end_date,res_time_sec,res_time_min,new_ser,new_sur
https://survey.porsline.ir/n/k/7qvDfHG/jSyy?review_token=None,jSyy,زن,55,ایرانی,,کارشناسی ( لیسانس),خانه دار,فارس,شيراز,jSyy,بلی,بلی,خیر,خیر,خیر,بلی,بلی,خیر,فرقی با سنتی ندارد,بله,اصلا مصرف نمیکنم,jSyy,,,,,,,,,,,,,,,,,,,,,,,,,,,,jSyy,,,,,,,,,,,,,,,,,,,,,,,,,,jSyy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jSyy,,,,,,,,,,,,,,,,,,,,,,,,,,jSyy,Sometimes,No - Never,Disagree,no,,jSyy,no,9999,,1399/12/27-22:47:46,1399/12/27-22:56:21,2021-03-17 22:47:46,2021-03-17 22:56:21,515,8.6,9999,9999
https://survey.porsline.ir/n/k/7qvDfHG/kDja?review_token=None,kDja,مرد,57,ایرانی,,کارشناسی ارشد (فوق لیسانس),کارمند,فارس,شيراز,kDja,بلی,بلی,خیر,خیر,خیر,بلی,بلی,خیر,فرقی با سنتی ندارد,بله,اصلا مصرف نمیکنم,kDja,,,,,,,,,,,,,,,,,,,,,,,,,,,,kDja,,,,,,,,,,,,,,,,,,,,,,,,,,kDja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kDja,,,,,,,,,,,,,,,,,,,,,,,,,,kDja,Never,No - Never,Somewhat agree,no,,kDja,no,9999,,1399/12/18-17:38:50,1399/12/18-17:44:55,2021-03-08 17:38:50,2021-03-08 17:44:55,365,6.1,9999,9999
https://survey.porsline.ir/n/k/7qvDfHG/ykcg?review_token=None,ykcg,زن,32,ایرانی,,دیپلم,خانه دار,فارس,شيراز,ykcg,خیر,نظری ندارم,بلی,خیر,بلی,بلی,بلی,خیر,فرقی با سنتی ندارد,خیر,اصلا مصرف نمیکنم,ykcg,,,,,,,,,,,,,,,,,,,,,,,,,,,,ykcg,,,,,,,,,,,,,,,,,,,,,,,,,,ykcg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ykcg,,,,,,,,,,,,,,,,,,,,,,,,,,ykcg,Never,Only when I have a cold or infection,Disagree,no,,ykcg,yes,1403,,1399/12/18-18:12:30,1399/12/18-18:18:49,2021-03-08 18:12:30,2021-03-08 18:18:49,379,6.3,1000,1403
https://survey.porsline.ir/n/k/7qvDfHG/7JTQ?review_token=None,7JTQ,زن,61,ایرانی,,دکترا و بالاتر,بازنشسته,تهران,تهران,7JTQ,بلی,نظری ندارم,خیر,خیر,خیر,بلی,بلی,خیر,فرقی با سنتی ندارد,بله,اصلا مصرف نمیکنم,7JTQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,7JTQ,,,,,,,,,,,,,,,,,,,,,,,,,,7JTQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7JTQ,,,,,,,,,,,,,,,,,,,,,,,,,,7JTQ,Sometimes,Only when I have a cold or infection,Strongly disagree,no,,7JTQ,no,9999,,1399/12/18-18:20:17,1399/12/18-18:25:08,2021-03-08 18:20:17,2021-03-08 18:25:08,291,4.8,9999,9999
https://survey.porsline.ir/n/k/7qvDfHG/u6a8?review_token=None,u6a8,زن,21,ایرانی,,دیپلم,دانشجو,مازندران,نوشهر,u6a8,بلی,نظری ندارم,خیر,خیر,خیر,بلی,بلی,خیر,فرقی با سنتی ندارد,بله,اصلا مصرف نمیکنم,u6a8,,,,,,,,,,,,,,,,,,,,,,,,,,,,u6a8,,,,,,,,,,,,,,,,,,,,,,,,,,u6a8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u6a8,,,,,,,,,,,,,,,,,,,,,,,,,,u6a8,Never,Only when I have a cold or infection,Disagree,yes,asthma,u6a8,no,9999,,1399/12/18-18:30:31,1399/12/18-18:33:45,2021-03-08 18:30:31,2021-03-08 18:33:45,194,3.2,9999,9999
https://survey.porsline.ir/n/k/7qvDfHG/k8n5?review_token=None,k8n5,مرد,25,ایرانی,,ابتدایی,آزاد,فارس,شيراز,k8n5,نظری ندارم,نظری ندارم,بلی,بلی,بلی,خیر,بلی,خیر,فرقی با سنتی ندارد,خیر,اصلا مصرف نمیکنم,k8n5,,,,,,,,,,,,,,,,,,,,,,,,,,,,k8n5,,,,,,,,,,,,,,,,,,,,,,,,,,k8n5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k8n5,,,,,,,,,,,,,,,,,,,,,,,,,,k8n5,Never,Only when I have a cold or infection,Strongly disagree,no,,k8n5,yes,1403,,1399/12/18-20:13:34,1399/12/18-20:17:40,2021-03-08 20:13:34,2021-03-08 20:17:40,246,4.1,1000,1403
https://survey.porsline.ir/n/k/7qvDfHG/vTBu?review_token=None,vTBu,زن,21,ایرانی,,کارشناسی ( لیسانس),دانشجو,گيلان,رشت,vTBu,بلی,خیر,خیر,خیر,خیر,بلی,بلی,خیر,فرقی با سنتی ندارد,بله,اصلا مصرف نمیکنم,vTBu,,,,,,,,,,,,,,,,,,,,,,,,,,,,vTBu,,,,,,,,,,,,,,,,,,,,,,,,,,vTBu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vTBu,,,,,,,,,,,,,,,,,,,,,,,,,,vTBu,Never,Only when I have a cold or infection,Strongly disagree,no,,vTBu,no,9999,,1399/12/18-21:34:31,1399/12/18-21:38:39,2021-03-08 21:34:31,2021-03-08 21:38:39,248,4.1,9999,9999
https://survey.porsline.ir/n/k/7qvDfHG/Hu13?review_token=None,Hu13,زن,62,ایرانی,,دیپلم,خانه دار,فارس,شيراز,Hu13,خیر,خیر,خیر,خیر,خیر,نظری ندارم,بلی,خیر,فرقی با سنتی ندارد,خیر,اصلا مصرف نمیکنم,Hu13,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hu13,,,,,,,,,,,,,,,,,,,,,,,,,,Hu13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hu13,,,,,,,,,,,,,,,,,,,,,,,,,,Hu13,A short time,No - Never,Strongly disagree,no,,Hu13,no,9999,,1399/12/18-22:42:30,1399/12/18-22:51:54,2021-03-08 22:42:30,2021-03-08 22:51:54,564,9.4,9999,9999
https://survey.porsline.ir/n/k/7qvDfHG/av8M?review_token=None,av8M,زن,29,ایرانی,,کارشناسی ( لیسانس),آزاد,فارس,شيراز,av8M,بلی,بلی,خیر,خیر,بلی,بلی,بلی,خیر,فرقی با سنتی ندارد,بله,اصلا مصرف نمیکنم,av8M,,,,,,,,,,,,,,,,,,,,,,,,,,,,av8M,,,,,,,,,,,,,,,,,,,,,,,,,,av8M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,av8M,,,,,,,,,,,,,,,,,,,,,,,,,,av8M,Never,No - Never,Disagree,no,,av8M,no,9999,,1399/12/18-23:15:11,1399/12/18-23:27:18,2021-03-08 23:15:11,2021-03-08 23:27:18,727,12.1,9999,9999
https://survey.porsline.ir/n/k/7qvDfHG/GyME?review_token=None,GyME,زن,35,ایرانی,,کارشناسی ارشد (فوق لیسانس),آزاد,فارس,شيراز,GyME,بلی,بلی,خیر,خیر,خیر,بلی,بلی,نظری ندارم,فرقی با سنتی ندارد,خیر,اصلا مصرف نمیکنم,GyME,,,,,,,,,,,,,,,,,,,,,,,,,,,,GyME,,,,,,,,,,,,,,,,,,,,,,,,,,GyME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GyME,,,,,,,,,,,,,,,,,,,,,,,,,,GyME,Sometimes,No - Never,Somewhat agree,no,,GyME,no,9999,,1399/12/18-23:31:00,1399/12/18-23:35:17,2021-03-08 23:31:00,2021-03-08 23:35:17,257,4.3,9999,9999
